Timestamp,Date,Date UTC,Open,High,Low,Close,Volume
1721838600,24-07-2024,1721838600,217.91,218.55,217.9,218.4,475364
1721838900,24-07-2024,1721838900,218.4,218.55,218.21,218.43,407427
1721839200,24-07-2024,1721839200,218.43,218.46,217.94,218.04,385156
1721839500,24-07-2024,1721839500,218.03,218.23,217.89,218.07,474545
1721839800,24-07-2024,1721839800,218.08,218.09,217.75,217.85,363605
1721840100,24-07-2024,1721840100,217.85,217.97,217.72,217.82,494339
1721840400,24-07-2024,1721840400,217.83,218.05,217.77,217.91,379198
1721840700,24-07-2024,1721840700,217.93,218.25,217.93,218.25,341351
1721841000,24-07-2024,1721841000,218.23,218.4,218.08,218.24,344492
1721841300,24-07-2024,1721841300,218.24,218.33,218.11,218.29,276760
1721841600,24-07-2024,1721841600,218.28,218.54,218.11,218.2,342351
1721841900,24-07-2024,1721841900,218.2,218.25,218.01,218.03,207976
1721842200,24-07-2024,1721842200,218.02,218.23,217.84,218.18,364475
1721842500,24-07-2024,1721842500,218.17,218.38,218.12,218.17,294051
1721842800,24-07-2024,1721842800,218.17,218.42,218.15,218.37,277139
1721843100,24-07-2024,1721843100,218.36,218.39,217.98,218.01,341659
1721843400,24-07-2024,1721843400,218.02,218.21,218,218.01,269121
1721843700,24-07-2024,1721843700,218.01,218.21,217.98,218.18,290738
1721844000,24-07-2024,1721844000,218.21,218.29,218.09,218.16,303467
1721844300,24-07-2024,1721844300,218.21,218.65,218.16,218.54,387729
1721844600,24-07-2024,1721844600,218.55,218.86,218.51,218.77,388256
1721844900,24-07-2024,1721844900,218.78,218.83,218.35,218.42,368135
1721845200,24-07-2024,1721845200,218.44,218.46,218.13,218.32,337919
1721845500,24-07-2024,1721845500,218.31,218.46,218.14,218.16,253027
1721845800,24-07-2024,1721845800,218.16,218.43,218.14,218.2,289305
1721846100,24-07-2024,1721846100,218.22,218.35,218.14,218.29,296423
1721846400,24-07-2024,1721846400,218.27,218.33,217.91,217.93,368540
1721846700,24-07-2024,1721846700,217.92,218.17,217.81,217.86,283431
1721847000,24-07-2024,1721847000,217.89,218.06,217.81,218,331130
1721847300,24-07-2024,1721847300,217.97,218.2,217.89,218.17,442510
1721847600,24-07-2024,1721847600,218.17,218.23,217.96,218.1,317320
1721847900,24-07-2024,1721847900,218.11,218.19,217.96,218.13,358487
1721848200,24-07-2024,1721848200,218.13,218.18,218,218.09,343423
1721848500,24-07-2024,1721848500,218.09,218.17,217.92,217.99,403337
1721848800,24-07-2024,1721848800,217.99,218.09,217.89,217.98,565440
1721849100,24-07-2024,1721849100,217.96,217.98,217.76,217.89,462900
1721849400,24-07-2024,1721849400,217.88,218.31,217.82,218.17,745436
1721849700,24-07-2024,1721849700,218.17,218.35,218.05,218.25,664342
1721850000,24-07-2024,1721850000,218.26,218.72,218.26,218.39,857552
1721850300,24-07-2024,1721850300,218.4,218.57,218.22,218.46,767262
1721850600,24-07-2024,1721850600,218.46,218.65,217.73,217.73,1329726
1721850900,24-07-2024,1721850900,217.73,218.78,217.7,218.57,3314170
1721914200,25-07-2024,1721914200,218.87,219.85,218.85,219.12,2855970
1721914500,25-07-2024,1721914500,219.11,219.14,217.98,218.55,1070528
1721914800,25-07-2024,1721914800,218.56,219.06,218.1,218.13,801787
1721915100,25-07-2024,1721915100,218.14,218.34,216.56,217.26,1074788
1721915400,25-07-2024,1721915400,217.28,217.59,216.58,216.66,765405
1721915700,25-07-2024,1721915700,216.67,216.78,215.06,215.56,1364673
1721916000,25-07-2024,1721916000,215.55,216.15,215.24,215.62,1308824
1721916300,25-07-2024,1721916300,215.59,216.04,214.62,214.9,1512074
1721916600,25-07-2024,1721916600,214.94,215.41,214.84,215.06,1055965
1721916900,25-07-2024,1721916900,215.04,216,214.87,215.55,1070445
1721917200,25-07-2024,1721917200,215.53,215.8,214.8,215.76,876415
1721917500,25-07-2024,1721917500,215.75,215.91,215.2,215.81,754261
1721917800,25-07-2024,1721917800,215.82,216.45,215.44,216.43,829379
1721918100,25-07-2024,1721918100,216.43,216.91,216.07,216.78,682622
1721918400,25-07-2024,1721918400,216.77,217.29,216.6,217.25,603306
1721918700,25-07-2024,1721918700,217.25,217.78,217.17,217.78,691554
1721919000,25-07-2024,1721919000,217.78,218.21,217.59,218.13,677307
1721919300,25-07-2024,1721919300,218.12,218.57,217.98,218.56,626195
1721919600,25-07-2024,1721919600,218.54,218.64,217.81,217.98,554403
1721919900,25-07-2024,1721919900,217.96,218.16,217.76,217.8,413253
1721920200,25-07-2024,1721920200,217.82,218.88,217.77,218.88,542384
1721920500,25-07-2024,1721920500,218.88,219.4,218.75,219.01,741881
1721920800,25-07-2024,1721920800,219,219.07,218.45,218.82,557864
1721921100,25-07-2024,1721921100,218.82,218.82,218.52,218.68,370791
1721921400,25-07-2024,1721921400,218.68,218.7,218.26,218.67,361310
1721921700,25-07-2024,1721921700,218.7,218.88,218.25,218.84,505741
1721922000,25-07-2024,1721922000,218.84,218.92,218.11,218.91,445286
1721922300,25-07-2024,1721922300,218.91,219.12,218.46,218.5,376708
1721922600,25-07-2024,1721922600,218.51,219.09,218.49,219.01,292122
1721922900,25-07-2024,1721922900,219.01,219.35,218.63,219.35,314112
1721923200,25-07-2024,1721923200,219.33,219.66,219.1,219.62,364738
1721923500,25-07-2024,1721923500,219.61,219.65,218.81,219.65,523309
1721923800,25-07-2024,1721923800,219.65,220.07,219.52,220.01,710428
1721924100,25-07-2024,1721924100,220.03,220.43,219.82,220.42,606976
1721924400,25-07-2024,1721924400,220.4,220.52,219.94,220.05,559753
1721924700,25-07-2024,1721924700,220.06,220.24,219.76,220.19,364237
1721925000,25-07-2024,1721925000,220.2,220.51,219.93,220.44,370242
1721925300,25-07-2024,1721925300,220.45,220.62,220.11,220.62,321158
